GENERAL INFO
name,null
elevation (m),2390.668459384702
aspect,null
air temperature (c),null
slope angle (deg),null
profilePrivacy,public
totalSnowDepth (cm),null
freeText,null
collectionTime,Dec 6 2024 13:41 MST
collectionTime (Unix Time),1733517711.0
creator name,HP Marshall
org name,null
Location,43.9409124933765,-115.70171697032065

SCOPE PROFILE
testNum,30
serialNum,00381
profileDepth (mm),981
batteryCapacity,0
errorCode,0
temperature,-1
FW_version,2.2.0
PCB_version,v2.7
depth (mm),hardness (kPa),
1,2.53,null
2,2.48,null
3,2.63,null
4,3.08,null
5,2.93,null
6,3.18,null
7,2.98,null
8,3.18,null
9,3.38,null
10,2.93,null
11,2.88,null
12,2.68,null
13,2.68,null
14,3.03,null
15,3.08,null
16,2.88,null
17,3.57,null
18,3.28,null
19,3.57,null
20,3.38,null
21,3.53,null
22,3.62,null
23,3.82,null
24,3.77,null
25,3.87,null
26,4.82,null
27,4.62,null
28,4.32,null
29,4.07,null
30,4.62,null
31,3.82,null
32,4.37,null
33,4.82,null
34,3.97,null
35,5.51,null
36,5.66,null
37,6.56,null
38,5.51,null
39,5.76,null
40,7.06,null
41,6.36,null
42,5.51,null
43,6.51,null
44,7.1,null
45,5.46,null
46,6.36,null
47,5.61,null
48,5.61,null
49,6.21,null
50,5.22,null
51,5.66,null
52,5.66,null
53,5.22,null
54,5.46,null
55,5.46,null
56,4.42,null
57,4.92,null
58,5.46,null
59,5.61,null
60,4.92,null
61,4.97,null
62,4.97,null
63,5.46,null
64,5.12,null
65,5.96,null
66,5.02,null
67,5.51,null
68,5.12,null
69,5.12,null
70,6.56,null
71,5.76,null
72,6.16,null
73,8.1,null
74,8.05,null
75,8.05,null
76,7.1,null
77,7.45,null
78,7.45,null
79,6.91,null
80,8.25,null
81,7.6,null
82,6.86,null
83,9.49,null
84,7.8,null
85,9.79,null
86,9.64,null
87,9.64,null
88,8.75,null
89,9.79,null
90,10.44,null
91,10.29,null
92,10.78,null
93,11.48,null
94,13.47,null
95,11.03,null
96,11.03,null
97,13.67,null
98,15.26,null
99,14.86,null
100,14.76,null
101,14.76,null
102,13.82,null
103,14.36,null
104,13.87,null
105,13.87,null
106,12.77,null
107,13.57,null
108,13.87,null
109,14.41,null
110,14.41,null
111,14.21,null
112,13.92,null
113,13.92,null
114,15.11,null
115,15.11,null
116,13.37,null
117,13.27,null
118,15.46,null
119,14.31,null
120,14.31,null
121,12.87,null
122,14.56,null
123,16.0,null
124,14.21,null
125,13.82,null
126,14.81,null
127,13.92,null
128,14.41,null
129,14.41,null
130,15.51,null
131,14.66,null
132,14.61,null
133,15.06,null
134,15.06,null
135,15.06,null
136,14.76,null
137,15.96,null
138,15.26,null
139,14.07,null
140,14.07,null
141,14.31,null
142,14.07,null
143,16.55,null
144,16.95,null
145,15.56,null
146,16.55,null
147,13.92,null
148,14.81,null
149,14.81,null
150,14.76,null
151,17.55,null
152,17.6,null
153,16.65,null
154,16.65,null
155,16.65,null
156,13.72,null
157,15.96,null
158,15.06,null
159,13.87,null
160,13.87,null
161,14.66,null
162,15.76,null
163,17.84,null
164,15.21,null
165,16.05,null
166,18.09,null
167,15.56,null
168,15.31,null
169,15.31,null
170,15.56,null
171,17.35,null
172,19.88,null
173,18.29,null
174,18.29,null
175,18.29,null
176,20.13,null
177,20.13,null
178,20.28,null
179,21.62,null
180,18.19,null
181,18.19,null
182,19.24,null
183,18.89,null
184,15.26,null
185,19.44,null
186,15.81,null
187,15.06,null
188,21.97,null
189,22.27,null
190,22.27,null
191,18.94,null
192,18.94,null
193,20.73,null
194,20.38,null
195,21.77,null
196,21.77,null
197,21.77,null
198,19.24,null
199,18.94,null
200,18.94,null
201,17.7,null
202,17.7,null
203,21.37,null
204,21.37,null
205,19.68,null
206,20.48,null
207,20.48,null
208,17.7,null
209,17.7,null
210,14.96,null
211,18.74,null
212,19.73,null
213,19.73,null
214,18.04,null
215,19.09,null
216,19.24,null
217,19.24,null
218,19.93,null
219,19.93,null
220,19.93,null
221,19.73,null
222,18.89,null
223,17.35,null
224,19.68,null
225,19.68,null
226,18.74,null
227,18.74,null
228,18.74,null
229,20.83,null
230,20.83,null
231,19.63,null
232,19.63,null
233,23.26,null
234,11.53,null
235,11.53,null
236,11.53,null
237,12.87,null
238,19.73,null
239,8.85,null
240,8.85,null
241,16.8,null
242,16.8,null
243,16.8,null
244,34.1,null
245,34.1,null
246,16.75,null
247,23.21,null
248,31.42,null
249,31.42,null
250,50.11,null
251,50.11,null
252,52.7,null
253,23.76,null
254,23.76,null
255,22.37,null
256,22.37,null
257,11.33,null
258,9.94,null
259,9.94,null
260,9.94,null
261,8.0,null
262,8.0,null
263,11.58,null
264,14.41,null
265,14.41,null
266,9.94,null
267,9.94,null
268,9.94,null
269,16.95,null
270,19.24,null
271,15.61,null
272,17.89,null
273,17.89,null
274,20.63,null
275,20.63,null
276,19.09,null
277,24.26,null
278,24.26,null
279,20.38,null
280,20.38,null
281,20.43,null
282,26.79,null
283,30.72,null
284,30.72,null
