GENERAL INFO
name,null
elevation (m),2391.061717373319
aspect,null
air temperature (c),null
slope angle (deg),null
profilePrivacy,public
totalSnowDepth (cm),null
freeText,null
collectionTime,Dec 6 2024 13:42 MST
collectionTime (Unix Time),1733517731.0
creator name,HP Marshall
org name,null
Location,43.940913298629376,-115.70171377376477

SCOPE PROFILE
testNum,31
serialNum,00381
profileDepth (mm),965
batteryCapacity,0
errorCode,0
temperature,-1
FW_version,2.2.0
PCB_version,v2.7
depth (mm),hardness (kPa),
368,14.81,null
369,16.1,null
370,16.15,null
371,16.15,null
372,15.06,null
373,15.06,null
374,17.45,null
375,19.04,null
376,19.04,null
377,14.61,null
378,14.61,null
379,14.61,null
380,26.6,null
381,24.26,null
382,27.49,null
383,23.11,null
384,23.11,null
385,24.95,null
386,24.95,null
387,23.07,null
388,24.01,null
389,24.01,null
390,20.98,null
391,20.98,null
392,24.01,null
393,19.34,null
394,17.05,null
395,17.05,null
396,21.87,null
397,21.87,null
398,15.56,null
399,15.46,null
400,15.46,null
401,15.61,null
402,15.61,null
403,15.61,null
404,11.28,null
405,11.28,null
406,10.19,null
407,10.98,null
408,14.51,null
409,14.51,null
410,11.18,null
411,11.18,null
412,15.61,null
413,21.28,null
414,21.28,null
415,18.44,null
416,18.44,null
417,19.14,null
418,20.03,null
419,21.62,null
420,21.62,null
421,22.02,null
422,22.02,null
423,25.7,null
424,21.52,null
425,21.52,null
426,25.7,null
427,25.7,null
428,25.7,null
429,25.15,null
430,25.15,null
431,21.97,null
432,21.28,null
433,30.57,null
434,30.57,null
435,23.21,null
436,23.21,null
437,27.69,null
438,22.42,null
439,22.42,null
440,25.5,null
441,25.5,null
442,25.85,null
443,34.3,null
444,34.3,null
445,34.95,null
446,34.95,null
447,24.26,null
448,24.26,null
449,35.99,null
450,30.87,null
451,30.87,null
452,36.39,null
453,36.39,null
454,36.39,null
455,31.07,null
456,31.07,null
457,32.56,null
458,36.34,null
459,35.0,null
460,35.0,null
461,35.99,null
462,35.99,null
463,35.99,null
464,44.2,null
465,54.54,null
466,38.03,null
467,44.84,null
468,56.38,null
469,52.85,null
470,52.85,null
471,52.6,null
472,52.6,null
473,46.73,null
474,44.69,null
475,44.69,null
476,52.4,null
477,52.4,null
478,52.4,null
479,50.26,null
480,50.26,null
481,45.84,null
482,47.97,null
483,48.77,null
484,48.77,null
485,52.75,null
486,56.03,null
487,46.53,null
488,46.53,null
489,44.64,null
490,44.64,null
491,45.49,null
492,38.63,null
493,36.24,null
494,36.24,null
495,40.47,null
496,30.03,null
497,35.79,null
498,35.79,null
499,38.53,null
500,38.53,null
501,38.53,null
502,31.52,null
503,32.71,null
504,34.2,null
505,29.28,null
506,29.28,null
507,29.03,null
508,29.03,null
509,29.48,null
510,36.04,null
511,34.15,null
512,30.77,null
513,37.43,null
514,35.25,null
515,35.25,null
516,35.25,null
517,36.84,null
518,36.84,null
519,46.98,null
520,58.57,null
521,43.2,null
522,43.2,null
523,43.2,null
524,64.93,null
525,62.74,null
526,64.48,null
527,44.54,null
528,44.54,null
529,57.77,null
530,57.77,null
531,50.96,null
532,44.1,null
533,39.67,null
534,39.97,null
535,39.62,null
536,37.19,null
537,42.95,null
538,42.95,null
539,40.62,null
540,43.65,null
541,43.65,null
542,43.65,null
543,47.68,null
544,47.68,null
545,47.68,null
546,53.49,null
547,42.46,null
548,51.55,null
549,60.7,null
550,60.7,null
551,52.1,null
552,56.92,null
553,60.55,null
554,61.4,null
555,55.38,null
556,59.66,null
557,60.5,null
558,71.04,null
559,71.04,null
560,63.54,null
561,74.62,null
562,68.41,null
563,67.76,null
564,67.76,null
565,67.76,null
566,78.65,null
567,77.46,null
568,76.66,null
569,76.41,null
570,76.41,null
571,73.43,null
572,71.94,null
573,70.0,null
574,74.67,null
575,76.41,null
576,64.88,null
577,65.23,null
578,65.23,null
579,65.08,null
580,62.99,null
581,57.22,null
582,61.05,null
583,61.05,null
584,61.05,null
585,62.89,null
586,58.66,null
587,59.06,null
588,70.1,null
589,62.15,null
590,69.06,null
591,61.45,null
592,58.37,null
593,70.15,null
594,65.58,null
595,58.47,null
596,61.5,null
597,58.47,null
598,56.53,null
599,62.1,null
600,57.02,null
601,57.02,null
602,57.02,null
603,53.49,null
604,60.36,null
605,53.29,null
606,55.68,null
607,55.38,null
608,55.43,null
609,67.02,null
610,71.49,null
611,57.72,null
612,63.59,null
613,71.99,null
614,73.13,null
615,71.74,null
616,99.04,null
617,88.55,null
618,85.96,null
619,85.96,null
620,91.78,null
621,88.55,null
622,92.72,null
623,120.17,null
624,101.32,null
625,114.6,null
626,106.15,null
627,91.93,null
628,107.54,null
629,98.99,null
630,83.38,null
631,92.87,null
632,78.9,null
633,76.66,null
634,76.71,null
635,76.71,null
636,75.47,null
637,79.15,null
638,85.41,null
639,83.67,null
640,83.82,null
641,81.73,null
642,92.92,null
643,95.51,null
644,85.17,null
645,95.46,null
646,100.08,null
647,97.5,null
648,97.5,null
649,98.09,null
650,127.13,null
651,98.84,null
652,100.08,null
653,154.92,null
654,144.43,null
655,134.49,null
656,140.5,null
657,155.07,null
658,109.53,null
659,118.73,null
660,94.11,null
661,94.11,null
662,99.73,null
663,84.02,null
664,84.42,null
665,69.21,null
666,75.32,null
667,64.08,null
668,68.76,null
669,65.43,null
670,60.16,null
671,62.34,null
672,57.92,null
673,57.92,null
674,55.28,null
675,58.76,null
676,58.42,null
677,58.76,null
678,52.3,null
679,58.37,null
680,59.26,null
681,56.53,null
682,59.81,null
683,62.79,null
684,59.36,null
685,56.38,null
686,62.0,null
687,62.0,null
688,61.05,null
689,61.05,null
690,58.47,null
691,59.26,null
692,64.53,null
693,58.42,null
694,59.31,null
695,62.74,null
696,57.52,null
697,61.6,null
698,57.72,null
699,57.52,null
700,57.27,null
701,66.37,null
702,60.85,null
703,74.77,null
704,66.07,null
705,67.51,null
706,67.51,null
707,67.51,null
708,62.19,null
709,62.84,null
710,63.54,null
711,58.17,null
712,62.59,null
713,61.2,null
714,55.68,null
715,55.04,null
716,59.41,null
717,57.72,null
718,81.88,null
719,85.61,null
720,85.61,null
721,62.54,null
722,88.1,null
723,93.67,null
724,85.61,null
725,85.61,null
726,85.61,null
727,93.47,null
728,102.72,null
729,94.07,null
730,81.09,null
731,81.09,null
732,84.22,null
733,78.45,null
734,62.19,null
735,57.77,null
736,71.39,null
737,75.92,null
738,49.27,null
739,49.62,null
740,49.62,null
741,51.16,null
742,55.13,null
743,60.06,null
744,53.94,null
745,53.94,null
746,53.94,null
747,54.79,null
748,58.57,null
749,55.93,null
750,56.28,null
751,56.28,null
752,54.79,null
753,54.79,null
754,53.0,null
755,54.24,null
756,54.94,null
757,59.96,null
758,57.97,null
759,50.16,null
760,54.69,null
761,54.69,null
762,53.25,null
763,52.5,null
764,51.01,null
765,53.54,null
766,53.54,null
767,53.54,null
768,60.26,null
769,55.93,null
770,54.69,null
771,77.51,null
772,77.51,null
773,62.89,null
774,60.8,null
775,84.12,null
776,86.16,null
777,78.9,null
778,99.44,null
779,95.66,null
780,95.66,null
781,95.81,null
782,83.82,null
783,79.8,null
784,90.09,null
785,90.09,null
786,73.58,null
787,74.77,null
788,72.98,null
789,70.95,null
790,72.04,null
791,72.64,null
792,69.11,null
793,72.79,null
794,68.86,null
795,84.82,null
796,86.41,null
797,79.85,null
798,75.72,null
799,75.72,null
800,75.17,null
801,81.19,null
802,86.71,null
803,90.34,null
804,62.99,null
805,86.41,null
806,76.07,null
807,55.28,null
808,54.54,null
809,55.93,null
810,45.64,null
811,46.09,null
812,48.42,null
813,48.42,null
814,46.53,null
815,63.04,null
816,51.26,null
817,55.18,null
818,71.49,null
819,63.74,null
820,47.03,null
821,60.7,null
822,54.64,null
823,50.81,null
824,47.93,null
825,51.85,null
826,51.85,null
827,47.93,null
828,48.87,null
829,49.96,null
830,52.3,null
831,49.96,null
832,57.87,null
833,54.29,null
834,56.97,null
835,59.11,null
836,53.0,null
837,50.66,null
838,50.66,null
839,49.37,null
840,56.18,null
841,53.2,null
842,50.71,null
843,51.11,null
844,55.04,null
845,49.22,null
846,50.91,null
847,49.22,null
848,52.8,null
849,53.49,null
850,65.87,null
851,65.87,null
852,57.52,null
853,64.48,null
854,64.73,null
855,69.8,null
856,52.85,null
857,58.12,null
858,50.21,null
859,40.67,null
860,50.76,null
861,31.47,null
862,34.05,null
863,34.05,null
864,33.8,null
865,31.92,null
866,31.92,null
867,32.86,null
868,33.41,null
869,30.77,null
870,26.55,null
871,53.99,null
872,49.81,null
873,47.18,null
874,53.49,null
875,39.27,null
876,55.18,null
877,53.05,null
878,30.72,null
879,31.52,null
880,32.31,null
881,32.66,null
882,32.41,null
883,32.91,null
884,32.91,null
885,26.79,null
886,34.5,null
887,34.85,null
888,22.97,null
889,22.97,null
890,28.93,null
891,28.93,null
892,27.14,null
893,26.15,null
894,25.05,null
895,25.15,null
896,25.95,null
897,33.01,null
898,33.01,null
899,24.56,null
900,30.82,null
901,30.82,null
902,27.94,null
903,27.94,null
904,31.22,null
905,26.69,null
906,25.55,null
907,30.62,null
908,30.62,null
909,26.69,null
910,34.4,null
911,23.07,null
912,23.07,null
913,25.95,null
914,23.21,null
915,31.52,null
916,34.3,null
917,34.3,null
918,27.79,null
919,29.03,null
920,29.03,null
921,31.96,null
922,31.96,null
923,40.47,null
924,28.63,null
925,36.89,null
926,34.85,null
927,34.85,null
928,35.99,null
929,30.57,null
930,41.56,null
931,38.18,null
932,31.52,null
933,37.43,null
934,35.0,null
935,35.0,null
936,40.67,null
937,37.14,null
938,37.14,null
939,35.0,null
940,35.0,null
941,36.19,null
942,33.61,null
943,36.59,null
944,32.71,null
945,28.53,null
946,34.75,null
947,37.78,null
948,40.07,null
949,38.98,null
950,43.25,null
951,40.22,null
952,47.73,null
953,47.78,null
954,47.78,null
955,42.61,null
956,41.36,null
957,44.89,null
958,46.78,null
959,39.67,null
960,39.37,null
961,44.1,null
962,42.8,null
963,90.54,null
964,186.54,null
965,296.03,null
