GENERAL INFO
name,null
elevation (m),2390.8433938072994
aspect,null
air temperature (c),null
slope angle (deg),null
profilePrivacy,public
totalSnowDepth (cm),null
freeText,null
collectionTime,Dec 6 2024 13:41 MST
collectionTime (Unix Time),1733517681.0
creator name,HP Marshall
org name,null
Location,43.94092026982884,-115.70172311182795

SCOPE PROFILE
testNum,29
serialNum,00381
profileDepth (mm),988
batteryCapacity,0
errorCode,0
temperature,-1
FW_version,2.2.0
PCB_version,v2.7
depth (mm),hardness (kPa),
1,0.54,null
2,1.78,null
3,0.74,null
4,3.92,null
5,2.48,null
6,2.63,null
7,3.23,null
8,3.03,null
9,2.98,null
10,2.98,null
11,3.13,null
12,2.48,null
13,2.73,null
14,2.78,null
15,2.68,null
16,2.48,null
17,2.28,null
18,2.48,null
19,2.08,null
20,1.98,null
21,2.93,null
22,2.58,null
23,2.98,null
24,2.93,null
25,2.43,null
26,2.53,null
27,2.83,null
28,2.73,null
29,2.68,null
30,2.93,null
31,2.33,null
32,3.23,null
33,3.03,null
34,3.28,null
35,3.18,null
36,3.03,null
37,2.98,null
38,3.33,null
39,3.77,null
40,3.18,null
41,4.57,null
42,4.57,null
43,4.82,null
44,5.17,null
45,5.12,null
46,4.47,null
47,5.12,null
48,5.17,null
49,4.52,null
50,4.27,null
51,3.97,null
52,3.97,null
53,3.82,null
54,4.82,null
55,3.92,null
56,4.07,null
57,4.07,null
58,4.12,null
59,4.07,null
60,3.87,null
61,3.97,null
62,4.02,null
63,3.82,null
64,4.07,null
65,4.12,null
66,4.07,null
67,4.07,null
68,4.07,null
69,4.07,null
70,4.07,null
71,4.62,null
72,4.22,null
73,4.57,null
74,3.77,null
75,5.61,null
76,5.22,null
77,5.12,null
78,6.11,null
79,6.91,null
80,5.76,null
81,5.96,null
82,5.96,null
83,6.51,null
84,6.76,null
85,5.76,null
86,6.51,null
87,6.71,null
88,6.91,null
89,6.71,null
90,8.1,null
91,7.4,null
92,6.76,null
93,9.14,null
94,8.8,null
95,8.8,null
96,9.74,null
97,9.74,null
98,8.15,null
99,13.67,null
100,12.08,null
101,12.97,null
102,13.32,null
103,15.26,null
104,14.21,null
105,10.49,null
106,11.98,null
107,13.57,null
108,12.38,null
109,11.98,null
110,12.33,null
111,12.97,null
112,12.97,null
113,11.88,null
114,11.88,null
115,12.08,null
116,12.82,null
117,13.77,null
118,11.93,null
119,13.12,null
120,12.33,null
121,10.98,null
122,11.78,null
123,11.58,null
124,12.97,null
125,13.47,null
126,11.18,null
127,13.07,null
128,13.07,null
129,12.38,null
130,12.38,null
131,11.58,null
132,12.77,null
133,13.47,null
134,12.28,null
135,11.33,null
136,11.38,null
137,12.82,null
138,12.82,null
139,12.97,null
140,13.67,null
141,14.41,null
142,13.47,null
143,13.72,null
144,15.11,null
145,13.52,null
146,13.52,null
147,14.31,null
148,15.46,null
149,13.67,null
150,10.44,null
151,13.37,null
152,10.98,null
153,10.73,null
154,12.33,null
155,10.44,null
156,11.98,null
157,13.47,null
158,11.93,null
159,14.91,null
160,11.83,null
161,11.83,null
162,11.98,null
163,14.46,null
164,11.43,null
165,13.02,null
166,13.37,null
167,13.37,null
168,13.12,null
169,11.93,null
170,11.88,null
171,11.83,null
172,14.21,null
173,12.43,null
174,12.43,null
175,12.08,null
176,16.5,null
177,17.35,null
178,14.46,null
179,14.46,null
180,20.18,null
181,18.99,null
182,20.18,null
183,14.41,null
184,14.41,null
185,16.3,null
186,17.1,null
187,13.57,null
188,13.77,null
189,13.52,null
190,17.3,null
191,18.54,null
192,13.57,null
193,18.04,null
194,17.94,null
195,18.04,null
196,18.04,null
197,17.35,null
198,21.92,null
199,21.18,null
200,16.35,null
201,17.35,null
202,16.05,null
203,15.36,null
204,17.5,null
205,14.02,null
206,16.1,null
207,15.91,null
208,12.38,null
209,17.6,null
210,14.76,null
211,14.21,null
212,13.57,null
213,13.57,null
214,17.35,null
215,16.25,null
216,15.71,null
217,15.91,null
218,15.91,null
219,15.61,null
220,14.91,null
221,16.65,null
222,16.35,null
223,16.65,null
224,18.19,null
225,18.84,null
226,18.84,null
227,16.05,null
228,16.9,null
229,16.9,null
230,16.3,null
231,16.3,null
232,19.49,null
233,17.6,null
234,18.19,null
235,14.07,null
236,14.07,null
237,20.63,null
238,15.26,null
239,13.27,null
240,14.81,null
